cf_problem_rating,cf_context_band,codechef_equiv_mid,codechef_equiv_low,codechef_equiv_high,leetcode_zerotrac_equiv_mid,leetcode_zerotrac_equiv_low,leetcode_zerotrac_equiv_high,leetcode_official_label_likely,confidence,recommended_training_weight,mapping_type,notes
400,CF beginner / Div4 A,600,400,800,700,500,900,Easy,low,0.4,calibrated_prior_not_ground_truth,Use as initial calibration / feature prior. Retrain with common-user solve data or native platform solve-rate data before treating as label truth.
500,CF beginner / Div4 A,750,550,950,850,650,1050,Easy,low-medium,0.5,calibrated_prior_not_ground_truth,Use as initial calibration / feature prior. Retrain with common-user solve data or native platform solve-rate data before treating as label truth.
600,CF beginner / Div4 A-B,850,650,1050,950,750,1150,Easy,low-medium,0.5,calibrated_prior_not_ground_truth,Use as initial calibration / feature prior. Retrain with common-user solve data or native platform solve-rate data before treating as label truth.
700,CF low archive / Div4 A-B,900,700,1100,1050,800,1300,Easy,low-medium,0.5,calibrated_prior_not_ground_truth,Use as initial calibration / feature prior. Retrain with common-user solve data or native platform solve-rate data before treating as label truth.
800,CF low archive / Div4-Div3 A-B-ish,950,730,1170,1100,820,1380,Easy / easier Medium,low-medium,0.5,calibrated_prior_not_ground_truth,Use as initial calibration / feature prior. Retrain with common-user solve data or native platform solve-rate data before treating as label truth.
900,CF low archive / Div4-Div3 A-B-ish,1050,830,1270,1200,920,1480,Easy / easier Medium,low-medium,0.5,calibrated_prior_not_ground_truth,Use as initial calibration / feature prior. Retrain with common-user solve data or native platform solve-rate data before treating as label truth.
1000,CF low archive / Div4-Div3 A-B-ish,1150,1000,1300,1350,1170,1530,Easy / easier Medium,medium,0.75,calibrated_prior_not_ground_truth,Use as initial calibration / feature prior. Retrain with common-user solve data or native platform solve-rate data before treating as label truth.
1100,CF low archive / Div4-Div3 A-B-ish,1300,1150,1450,1500,1320,1680,Medium,medium,0.75,calibrated_prior_not_ground_truth,Use as initial calibration / feature prior. Retrain with common-user solve data or native platform solve-rate data before treating as label truth.
1200,CF pupil practice / Div3 B-C / Div2 A-B-ish,1450,1300,1600,1600,1420,1780,Medium,medium,0.75,calibrated_prior_not_ground_truth,Use as initial calibration / feature prior. Retrain with common-user solve data or native platform solve-rate data before treating as label truth.
1300,CF pupil practice / Div3 B-C / Div2 A-B-ish,1600,1450,1750,1700,1520,1880,Medium,medium,0.75,calibrated_prior_not_ground_truth,Use as initial calibration / feature prior. Retrain with common-user solve data or native platform solve-rate data before treating as label truth.
